name,short_description,detailed_description,business_function,capabilities,owner,technology,status
Azure_Text to speech_Word,"Generating audio files manually from voice-over (VO) text in Word documents is a time-intensive and repetitive task. To enhance efficiency and consistency, an automated solution is required to extract VO content from...","Generating audio files manually from voice-over (VO) text in Word documents is a time-intensive and repetitive task. To enhance efficiency and consistency, an automated solution is required to extract VO content from the Word document and convert it into high-quality audio using Microsoft Azure Text-to-Speech. This will streamline audio production, ensure standardized voice output, and significantly reduce manual workload in content development workflows.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input word document from the container
 4. Validate Voice Name and Request ID from input Word again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the ""voice name"" and ""Narration"" from each row of the table and generate audio using speech.microsoft.com 
 8. Create SSML file using voice name and narration from the input and generate the .mp3 audio using export option
 8. Ouput audios will zipped and uploaded to Azure Output contaner
 9. Share the ouput path link to requestor id through email
 10. Repeat for every word document in the azure input container

Generated 21 output files",HL,Generated 21 output files,Khushbu Pandey,UiPath,ACTIVE
ElevenLabs - Text to speech_Excel,"Generating audio files manually from voice-over (VO) text listed in Excel sheets is time-consuming and inefficient. To streamline this process, an automated solution is required to read VO text from the Excel sheet and...","Generating audio files manually from voice-over (VO) text listed in Excel sheets is time-consuming and inefficient. To streamline this process, an automated solution is required to read VO text from the Excel sheet and generate high-quality audio using Eleven Labs Text-to-Speech. This will ensure consistent voice output, faster production of audio assets, and improved scalability for content development workflows.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input exel file from the container
 4. Validate Voice Name and Request ID from input excel again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the ""Input Text"" text from each row of the table and generate audio using Elevenlabs API
 8. Ouput audios will zipped and uploaded to Azure Output contaner
 9. Share the ouput path link to requestor id through email
 10. Repeat for every word document in the azure input container

Generated 4 output files",HL,Generated 4 output files,Khushbu Pandey,UiPath,ACTIVE
DAMS - Image Extraction,"Storyboard Word documents often contain a mix of embedded images and Getty image references, requiring careful extraction and tagging to ensure accessibility compliance. Manually extracting these images and writing alt...","Storyboard Word documents often contain a mix of embedded images and Getty image references, requiring careful extraction and tagging to ensure accessibility compliance. Manually extracting these images and writing alt text is time-consuming and inconsistent. An automated solution is needed to extract both embedded and referenced Getty images from the storyboard, generate meaningful alt text using Equalsense, and organize the image assets along with their metadata and alt text—streamlining accessibility, improving content quality, and reducing manual effort.

1. Downloading the word document from google.
 2. Extracting the COS ID from the word document name.
 3. opening the word document and get the image count.
 4. checking the image width and height.
 5. extracting the images from word document.
 6. splitting each content/lesson/chapter from word document for each image and image naming conversion is created. (Section, Lesson, Microunit and title).
 7. uploading the file to google drive.

Generated 10 output file",HE,Generated 10 output file,Kanchan Shine,UiPath,ACTIVE
DAMS - Metadata Extraction,"Extracting DAMS metadata from Word templates and manually retrieving corresponding Getty Images metadata is inefficient and prone to errors. To streamline this workflow, an automated solution is needed to extract...","Extracting DAMS metadata from Word templates and manually retrieving corresponding Getty Images metadata is inefficient and prone to errors. To streamline this workflow, an automated solution is needed to extract metadata from the Word document, search for matching Getty Images, retrieve their meta information (such as title, description, keywords, and licensing), and populate this data into an Excel sheet—ensuring accuracy, consistency, and reduced manual effort in digital asset management.

1. Downloading the ""Equal sense alt-text"" CSV from google.
 2. Using image naming and splitting the image name and alt text csv content COS sheet is created as per images (Banner, Getty, Complex images).
 3. Banner/Complex - Check for Banner in the image naming and populate required fields in the DAMS Sheet
 4. Getty Imae - Check for Getty image form image name and fetch the required fields from Getty URL and populate it in the DAMS Sheet

No live data added",HE,No live data added,Kanchan Shine,UiPath,ACTIVE
FNF Vidieo Creation Automation,"Creating videos manually from storyboard templates involves combining images and generating voice-over (VO) audio, which is time-consuming and resource-intensive. To streamline this process, an automated solution is...","Creating videos manually from storyboard templates involves combining images and generating voice-over (VO) audio, which is time-consuming and resource-intensive. To streamline this process, an automated solution is needed to read storyboard content, compile relevant images, generate audio from VO text using text-to-speech, and assemble them into cohesive video outputs—ensuring faster production, consistency, and scalability in eLearning content creation.

1. Image Creation using NightCafe
 2. Audio Creation using Azure Speech Synthesis
 3. Chapter-wise Audo Merge including bgm
 4. Stacking Images and Audio using Adobe Express
 5. Creating timestamp details along with character action in spreadsheet
 6. Google Drive Upload and Download
 7. Interface creation & Testing
 8. Generating caption using Adobe Express

Generated 25 ouput files",HE,Generated 25 ouput files,Yogesh Hankre,UiPath,ACTIVE
Image description update in Gdrive images,"Images stored in Google Drive often lack descriptive metadata, making them difficult to search and organize. Manually adding keywords is inefficient and unscalable. To improve searchability and content management, an...","Images stored in Google Drive often lack descriptive metadata, making them difficult to search and organize. Manually adding keywords is inefficient and unscalable. To improve searchability and content management, an automated solution is needed to analyze images, generate relevant keywords using image recognition or metadata extraction, and tag each image in Google Drive accordingly.

1. read the description from excel.
2. open the G-drive URL in browser.
3. find the image by giving the image name in the search box.
4. Open the detail page for that particular image.
5. Fill the missing description from the excel sheet

No live data added",HE,No live data added,Vijayaragavan,UiPath,ACTIVE
Video Transcript extraction using Azure,"Manually transcribing video files is time-consuming and prone to inaccuracies. To streamline this process, an automated solution is required to extract accurate transcripts from video files using Microsoft Azure...","Manually transcribing video files is time-consuming and prone to inaccuracies. To streamline this process, an automated solution is required to extract accurate transcripts from video files using Microsoft Azure Speech-to-Text. This will enable faster, consistent, and scalable transcript generation for use in captions, accessibility compliance, and content repurposing.

1. Video file to wav file conversion.
2. Extract transcript from wav file usign Azure API.

generated 25 output files",HE,generated 25 output files,Khushbu Pandey,Python,ACTIVE
OEX - SB Template to SCORM package,"Manually transferring storyboard content into the WGU OEX platform is time-consuming, repetitive, and prone to human error. To enhance efficiency and ensure content consistency, an automated solution is needed to...","Manually transferring storyboard content into the WGU OEX platform is time-consuming, repetitive, and prone to human error. To enhance efficiency and ensure content consistency, an automated solution is needed to extract structured data from Word-based storyboards and populate it directly into the WGU OEX platform—streamlining the content upload process and reducing turnaround time in course developmen

1. Read the word template.
2. Convet docx to html format
3. Read all the <h2>,<h3> and sub-sections.
4. Create the default folder structure in the course root folder
5. Create the main chapter.xml and sequence xml (Root Section, Lessons)
6. Create the main section, Lessons (main lesson content)
7. create the Sub-Lesson content in drafts folder
8. create course.xml file - To create the course/year_mo.xml
9. put main Lesson UUID in all the Sub Lessons in vertical folder
10. move the Activity content (problem html files) to the problem folder
11. modify the structure of multiple-Select, multiple-choice, true/false files in problem folder
12. put <choicehint> tags, <label>>><<</label> tags in the problem files
13. change the content from <html to <problem in the vertical folder
14. remove <h1>Dummy</h1> tags AND change ""display_name=""Dummy""/>"" to ""display_name=""Text""/>""
15. ensure only Section, Lesson 1, Lesson 2 .... and so on Lesson main file reference present in the chapter file.
16. zip the package to tar.gz folder.

No live data added",HE,No live data added,Rubha Mishra,Python,ACTIVE
SocialStudies 6-10 A11y PPTs - (Word_to_PPTX),"Creating accessible PowerPoint presentations from Word-based storyboards across various templates is a manual, time-consuming process that often leads to inconsistencies and accessibility gaps. To ensure efficiency...","Creating accessible PowerPoint presentations from Word-based storyboards across various templates is a manual, time-consuming process that often leads to inconsistencies and accessibility gaps. To ensure efficiency, consistency, and WCAG compliance, an automated solution is needed to convert storyboard content into PowerPoint presentations, applying the appropriate templates and embedding accessibility features such as proper reading order, alt text, and slide structure.

1. Read the word template file.
2. Read the template and paste the word content in the corresponding PPT template

Bot Handover to Team",HPT,Bot Handover to Team,Chandra,UiPath,ACTIVE
Cenovus - Word to ASL,"Converting Word-based storyboards containing multiple templates into Articulate Storyline projects is a manual and resource-intensive process. Each template requires specific layout and interaction mapping, increasing...","Converting Word-based storyboards containing multiple templates into Articulate Storyline projects is a manual and resource-intensive process. Each template requires specific layout and interaction mapping, increasing the chances of inconsistency and delays. To streamline development, an automated solution is needed to interpret the storyboard content, identify the correct template for each section, and generate corresponding slides in Articulate Storyline—ensuring efficiency, accuracy, and scalable eLearning production.

1. Upload the Storyboard word document and Audio folder to the interface; the bot will start running. 
2. Download the input file from Google Drive. 
3. Open Articulate Storyline 360 and log in. 
4. Read the content in the Storyboard word document, specifically the ""Original Text Caption Data"", to identify the template names. 
5. Based on the identified template name, select the corresponding template in Articulate Storyline 360. 
6. Populate the text and insert the audio into the appropriate sections of Articulate Storyline 360. 
7. Once all templates are completed, the course link will be sent via the interface. 
8. Finally, the status will be updated in the interface.

Generated 40 output files",HL,Generated 40 output files,Amrita,UiPath,ACTIVE
Extraction of Evolve SCORM package to word template,Revamping eLearning content requires extracting and restructuring existing material into a standardized storyboard format. Manually extracting content from Evolve SCORM packages and aligning it with the existing Word...,"Revamping eLearning content requires extracting and restructuring existing material into a standardized storyboard format. Manually extracting content from Evolve SCORM packages and aligning it with the existing Word storyboard template is time-consuming and error-prone. An automated solution is needed to extract content—including text, media references, and interactions—from Evolve SCORM packages and map it into a structured Word template that mirrors the existing storyboard format, ensuring consistency, efficiency, and accuracy in the content revamp process.

1. Extract the SCORM package
2. Read the file content and check the block title name
3. Based on the block title get the content from the block.json
4. fill the blank template with the extracted text.
5. extract the plain text to template format.

No live data added becuase order was not properly arranged",HE,No live data added becuase order was not properly arranged,Harshita,Python,ACTIVE
Content Extraction on Large Document for Plagrarism checking,"Identifying and isolating specific metadata such as ""Item-Meta-Data"" from Word documents for plagiarism checking is a manual, repetitive task that risks inconsistency and inefficiency. An automated solution is required...","Identifying and isolating specific metadata such as ""Item-Meta-Data"" from Word documents for plagiarism checking is a manual, repetitive task that risks inconsistency and inefficiency. An automated solution is required to read metadata from Word documents, extract the ""Item-Meta-Data"" section, and generate a new document with this content—ensuring accurate, consistent preparation for plagiarism detection while reducing manual effort and turnaround time.

1. Read the word document meta information
2. read the ""Item-Meta-Data"" information from the document.
3. And paste this information in the new document and save the document to check for plagiarism

No Live data added",HE,No Live data added,Monika Dhomase,UiPath,ACTIVE
ASL Azure BOT Audio conversion - Word,"Manually generating audio files from voice-over (VO) text in Word-based storyboard templates is time-consuming and inefficient. To optimize this process, an automated solution is required to extract VO content from the...","Manually generating audio files from voice-over (VO) text in Word-based storyboard templates is time-consuming and inefficient. To optimize this process, an automated solution is required to extract VO content from the Word document and generate high-quality audio files using Microsoft Azure Text-to-Speech. This will ensure consistent narration, reduce manual effort, and accelerate the production of audio assets for eLearning content.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input word document from the container
 4. Validate Voice Name and Request ID from input Word again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the """"Narration"""" from each row of the table and generate audio using speech.microsoft.com 
 8. Create SSML file using voice name and narration from the input and generate the .mp3 audio using export option
 8. Ouput audios will zipped and uploaded to Azure Output contaner
 9. Share the ouput path link to requestor id through email
 10. Repeat for every word document in the azure input container

Generated 151 output files",HL,Generated 151 output files,Amrita,UiPath,ACTIVE
Suncor ASL Conversion Bot - PPTX to ASL,"Creating Articulate Storyline courses manually for each storyboard using multiple templates is time-consuming, repetitive, and prone to inconsistencies. An automated solution is required to generate Storyline projects...","Creating Articulate Storyline courses manually for each storyboard using multiple templates is time-consuming, repetitive, and prone to inconsistencies. An automated solution is required to generate Storyline projects by mapping storyboard content to the appropriate templates, streamlining the course development process, ensuring consistency, and significantly reducing manual effort in building interactive eLearning modules.

1. Upload the Storyboard PPTX document and Audio folder to the interface; the bot will start running. 
2. Download the input file from Google Drive. 
3. Open Articulate Storyline 360 and log in. 
4. Read the slides in the Storyboard PPTX document, specifically the notes section, to identify the template names. 
5. Based on the identified template name, select the corresponding template in Articulate Storyline 360. 
6. Populate the text and insert the audio into the appropriate sections of Articulate Storyline 360. 
7. Once all templates are completed, the course link will be sent via the interface. 
8. Finally, the status will be updated in the interface.

No Live data added",HL,No Live data added,Amrita,BOT Automation - UiPath; UI Interface - Angular; API - .Net Core 6.0,ACTIVE
ASL Azure BOT Audio conversion - PPTX,"Manually generating audio files from voice-over (VO) text in the notes section of PowerPoint (PPTX) slides is labor-intensive and inefficient. To streamline the audio production process, an automated solution is needed...","Manually generating audio files from voice-over (VO) text in the notes section of PowerPoint (PPTX) slides is labor-intensive and inefficient. To streamline the audio production process, an automated solution is needed to extract VO text from each slide’s notes section and generate corresponding audio files using Microsoft Azure Text-to-Speech. This ensures consistent voice output, reduces manual effort, and accelerates the delivery of audio assets for eLearning content.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input PPT from the container
 4. Validate Voice Name and Request ID from input PPT again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the """"Audio Transcript"""" from each slide and generate audio using speech.microsoft.com
 8. Ouput audios will zipped and uploaded to Azure Output folder 
 9. Share the ouput path link to requestor id through email
 10. Repeat for every ppt in the input folder.

Generated 58 output files",HL,Generated 58 output files,Ranjeet Kumar,UiPath,ACTIVE
MHHE - Science Word to PPTs,"Creating accessible PowerPoint presentations from Word-based storyboards across various templates is a manual, time-consuming process that often leads to inconsistencies and accessibility gaps. To ensure efficiency...","Creating accessible PowerPoint presentations from Word-based storyboards across various templates is a manual, time-consuming process that often leads to inconsistencies and accessibility gaps. To ensure efficiency, consistency, and WCAG compliance, an automated solution is needed to convert storyboard content into PowerPoint presentations, applying the appropriate templates and embedding accessibility features such as proper reading order, alt text, and slide structure.

1. Read the word template file.
2. Read the template and paste the word content in the corresponding PPT template

Bot Handover to Team",HPT,Bot Handover to Team,Chandra,UiPath,ACTIVE
Habitat Video download - MHE,Manually downloading video files from multiple chapters listed on the Habitat website and tracking them in Excel is time-consuming and prone to errors. An automated solution is required to download videos based on the...,"Manually downloading video files from multiple chapters listed on the Habitat website and tracking them in Excel is time-consuming and prone to errors. An automated solution is required to download videos based on the URLs provided in the Excel sheet, extract the video duration, and update the corresponding row in the sheet with the video length—ensuring accurate tracking, improved efficiency, and reduced manual effort in managing video assets.

1. Read the input excelsheet and look for the ""Take another look"" navigation links
2. Download the video present in that page using python script.
3. renmae the video file as per the title.
4. get the duration of the video file and write it in the excel.

Generated 991 video files",HPT,Generated 991 video files,Ravi S,python,ACTIVE
Speechelo PPTX to Audio Conversion Bot,"Manually creating Speechlo MP3 audio assets from PowerPoint (PPTX) storyboards is time-consuming and repetitive. Each slide contains narrator-specific information at the beginning, followed by the script in the notes...","Manually creating Speechlo MP3 audio assets from PowerPoint (PPTX) storyboards is time-consuming and repetitive. Each slide contains narrator-specific information at the beginning, followed by the script in the notes section. To streamline this process, an automated solution is needed to extract narrator details and script text from each slide, generate corresponding Speechlo MP3 files with appropriate voice mapping, compile the audio files into a ZIP archive, and automatically send it via email—ensuring efficient, consistent, and scalable audio production and delivery for eLearning content.

1. Goto Azure Portal
 2. Check for Input folder container for every one hour interval
 3. Download Input PPT from the container
 4. Validate Voice Name and Request ID from input PPT again language Master sheet.
 5. If Voice Name validation fails email will be sent to the requestor id
 6. If Requestor ID validation fails email will ne sent to RPA team
 7. If validation passes, copy the """"Audio Transcript"""" from ""Note section"" each slide and generate audio using ""https://app.blasteronline.com/speechelo/""
 8. Ouput audios will zipped and uploaded to Azure Output folder 
 9. Share the ouput path link to requestor id through email
 10. Repeat for every ppt in the input folder.

No live data added",HE,No live data added,Vijayaragavan,UiPath,ACTIVE
"Stock Image, Video download","Manually downloading image files from Adobe Stock and Freepik, and videos from Envato, as listed in an Excel sheet, and then uploading them to Drive is time-consuming and prone to errors. Additionally, updating the...","Manually downloading image files from Adobe Stock and Freepik, and videos from Envato, as listed in an Excel sheet, and then uploading them to Drive is time-consuming and prone to errors. Additionally, updating the Excel sheet with corresponding Drive links for each file demands significant manual effort.

1. Open Input excel sheet and look for the sheet name for the BOT to call

2. For Evanto open the URL ""https://stock.adobe.com/in/""
3. Put the Evanto video link in the search bar.
4. Click Download Button and select the project used for.
5. If video file other than mp4 format, then open the HandBrake website, input the videofile and select the .mp4 format and click Encode button

2. For Adobe stock URL ""https://stock.adobe.com/in/""
3. Put the adobe stock id in the search bar
4. Use ""License"" button or ""Re-download for free"" button to download the image.

No live data added",HE,No live data added,Vijayaragavan,UiPath,ACTIVE
UMGC AEM,"Creating AEM pages across various templates and manually mapping them into the D2L environment is resource-intensive, error-prone, and lacks scalability. An automated approach is required to streamline the generation of...","Creating AEM pages across various templates and manually mapping them into the D2L environment is resource-intensive, error-prone, and lacks scalability. An automated approach is required to streamline the generation of AEM pages and ensure accurate mapping into corresponding D2L templates, enabling efficient content delivery, consistency, and reduced manual effort across platforms.

WIP",HE,WIP,Fawzan Meer,UiPath,ACTIVE
Editorial eLearning - SCORM to epub conversion,"SCORM packages are commonly used for eLearning but lack compatibility with all devices and offline formats. Manual conversion to EPUB is time-consuming, particularly when extracting structured content and layout. To...","SCORM packages are commonly used for eLearning but lack compatibility with all devices and offline formats. Manual conversion to EPUB is time-consuming, particularly when extracting structured content and layout. To enhance content portability and offline access, an automated solution is needed to convert SCORM to EPUB, focusing solely on extracting and preserving the content and layout—excluding any scripting or interactive logic.

1. Extract the SCORM package
2. Took the necessary html files and convert to xhtml format.
3. ePub package files created, like content.opf, toc.ncx and toc.xhtml, nav.xhtml files created.
4. clean the ePub package for unwanted contents.
5. zip the package and convert to .epub package

Exe Handover to Team",HPT,Exe Handover to Team,Ravi S,python,ACTIVE
B&B LO conversion into PDF and word,"Converting Word documents to PDF manually across multiple folders and subfolders in SharePoint is time-consuming and difficult to manage at scale. Additionally, tracking and linking both the original Word and converted...","Converting Word documents to PDF manually across multiple folders and subfolders in SharePoint is time-consuming and difficult to manage at scale. Additionally, tracking and linking both the original Word and converted PDF files for each asset requires significant manual effort. To streamline this process, there is a need for an automated solution that can recursively convert Word files to PDFs within the SharePoint directory structure and record both file links in an Excel sheet against each corresponding asset.

1. Input word document, excel files are downloaded from sharepoint
2. read the excel and look for the partial word document name and write the full document name in the excel
3. convert the word document in to pdf format.
4. Copy .docx and .pdf files in to sharepoint location.
5. Take the view and download links from sharepoint and fill the corresponding columns in the excel sheet.

850 files",HE,850 files,Lakhan Khandagale,UiPath/Python,ACTIVE
WordCount_Task_WGU_BSIT,"Converting Word documents to PDF manually across multiple folders and subfolders in SharePoint is time-consuming and difficult to manage at scale. Additionally, tracking and linking both the original Word and converted...","Converting Word documents to PDF manually across multiple folders and subfolders in SharePoint is time-consuming and difficult to manage at scale. Additionally, tracking and linking both the original Word and converted PDF files for each asset requires significant manual effort. To streamline this process, there is a need for an automated solution that can recursively convert Word files to PDFs within the SharePoint directory structure and record both file links in an Excel sheet against each corresponding asset.

1. Cleanup the word document for headings H1 to H6.
2. Remove the first table content appearing in the word document.
3. Remove the ""[Not student-facing – instructions for Hurix:]...[Student facing - Hurix, write student facing below:]"" content.

Exe Handover to Team",HE,Exe Handover to Team,Fawzan Meer,python,ACTIVE
Evolve Automation - Word to replace existing content,"The current process of creating Evolve courses from Storyboard documents is manual, time-consuming, and error-prone. Users must download files, log in to the Evolve platform, identify and select templates, replace...","The current process of creating Evolve courses from Storyboard documents is manual, time-consuming, and error-prone. Users must download files, log in to the Evolve platform, identify and select templates, replace content, and manually share course links and status updates. This workflow lacks efficiency and scalability, highlighting the need for a streamlined and automated solution.

1. Upload the Storyboard input Word document and image folder to the interface; the bot will start running.
2. Download the input file from Google Drive.
3. Open https://universityofphoenix.evolveauthoring.com/#/courses and log in.
4. Read the Storyboard input Word document to identify the number of Evolve templates available.
5. Based on the Evolve template name, select the corresponding template in the Evolve platform.
6. Replace the text into the Evolve platform.
7. Once all Evolve templates are completed, the course link will be sent via the interface.
8. Finally, the status will be updated in the interface.

Completed",HE,Completed,Harshita,UiPath,ACTIVE
QuizMaker 360 - Question creation,"The current quiz creation process requires manual extraction of question content from HTML, identification of question types, handling of response options for multiple-choice questions, and separate management of images...","The current quiz creation process requires manual extraction of question content from HTML, identification of question types, handling of response options for multiple-choice questions, and separate management of images within answer choices. This fragmented workflow increases effort and the risk of errors when preparing quizzes for import into QuizMaker360. A streamlined approach is needed to automate content extraction, response handling, image processing, and quiz generation through a standardized Excel import.

1. Extract the question content from HTML tag.
2. Check for the question type and answer choices.
3. If multipl choice question means, we need to add the responces.
4. For all other type of question no need to add responces.
5. If images are available in multiple qustion choices, download the images and upload it in the QuizMaker.
6. Final excel sheet is imported via QuizMaker360 for generating quiz question.

Completed",HL,Completed,Ranjeet Kumar,UiPath/Python,ACTIVE
MHHE - Connect Asset maps,"The current grade comparison process involves manually retrieving old and new XML files from different locations, extracting data from XML tags into Excel, comparing data points, sorting questions, and generating...","The current grade comparison process involves manually retrieving old and new XML files from different locations, extracting data from XML tags into Excel, comparing data points, sorting questions, and generating customer reports. This workflow is time-consuming and prone to inconsistencies, creating a need for an automated solution to streamline data extraction, comparison, and report generation.

1. Grade XMLs (old and new version) need to pick from two different locations.
2. Generate the excel sheet with the data populate from the XML tags.
3. Compare the data point and sort the questions.
4. Generate the customer report from the result excel.

Completed",HPT,Completed,Ravi S,python,ACTIVE
UOP Strapi,"The current process of uploading assessment content to the Strapi LMS requires manual preparation and validation of Word documents, cleanup of formatting issues, extraction of scenarios, questions, and choices from...","The current process of uploading assessment content to the Strapi LMS requires manual preparation and validation of Word documents, cleanup of formatting issues, extraction of scenarios, questions, and choices from tabular structures, and separate handling of MCQ and multiselect questions. Updating completion status and sharing Strapi links further adds to manual effort. This fragmented workflow is time-consuming and error-prone, highlighting the need for an automated, end-to-end solution integrated with the portal.

1. Input word document with filanemae starts with ""Strapi_"" to be uploaded to Portal
2. BOT starts with clenaup for entermarks and content control
3. Read the word document with tabular struction and look for the scenario, questions and choices
4. MCQ and Multiselect quesion are uploaded to Strapi LMS site
4. completed status will be updated to the portal and text file will be downloaded with strapi link it

Completed",HE,Completed,Harshita,UiPath,ACTIVE
HBP content to CourseEra,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

1. Input - XML files from customer
2. Interrim conversion from XML to excelc conversion
3. BOT migrates content from Excel to Coursera shell by adding basic course settings and Reading items

Completed",HE,Completed,Kanchan Shine,RPA,ACTIVE
Coursera 97 BOT from SB,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",HE,Completed,Harshita,RPA,ACTIVE
D2L to AEM - Video and Transcript,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",HE,Completed,Sukaniya R,UiPath,ACTIVE
Canvas BOT,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Not Started",HL,Not Started,Khushbu Pandey,RPA,ACTIVE
Coursera 97 - Video Optimization,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",HE,Completed,Vijayaragavan,RPA,ACTIVE
Coursera 97 - Movie Video Assets to SVN,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",HE,Completed,Vijayaragavan,RPA,ACTIVE
B & B LO Conversion,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Completed",,Completed,Lakhan Khandagale,RPA,ACTIVE
ASL Automation,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Enmax

Completed",,Completed,Amrita,RPA,ACTIVE
Coursera 247,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

Claude to Outline - Part I ad Part II

Completed",,Completed,Shabna,RPA,ACTIVE
Coursera 97,"Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in...","Customer course content is delivered in XML format, requiring multiple manual transformations to onboard it into the Coursera platform. This process is inefficient, error-prone, and does not scale, leading to delays in course setup and inconsistent configurations. An automated, BOT-driven solution is required to standardize XML ingestion, enable structured interim conversion, and reliably migrate content into Coursera shells with predefined course settings and reading items, reducing manual effort and improving speed, accuracy, and scalability.

VSB Script Extraction BOT

Completed",,Completed,Reena,RPA,ACTIVE
